area_id,district,taluka,area_name,latitude,longitude,industrial_density,midc_presence,estimated_industrial_units,estimated_market_size,yoy_growth_rate,total_sales,total_transactions,avg_order_value,active_customers,current_penetration_rate,penetration_gap,dealer_count,dealers_per_100_units,avg_delivery_delay_days,avg_response_time_hours,service_delay_pct,market_potential_score,growth_score,service_performance_score,opportunity_score,opportunity_rank,opportunity_category
A001,Pune,Chakan,Chakan MIDC Phase 1-4,18.7602,73.8634,94,1,1450,125000000.0,14.2,487501750.0,1423,342587.31553056923,310,21.38,78.62,7,0.48,0.2522839072382291,10.924806746310612,19.96,85.4,85.05,99.98,86.13,1,High Opportunity
A003,Pune,Ranjangaon,Ranjangaon MIDC Industrial Hub,18.8471,74.2543,89,1,1180,110000000.0,15.8,133353775.0,392,340188.20153061225,85,7.2,92.8,0,0.0,3.520408163265306,66.4795918367347,89.54,80.21,100.0,2.2,76.96,2,High Opportunity
A004,Pune,Pimpri-Chinchwad,PCPMC Auto Hub,18.6298,73.7997,98,1,1850,165000000.0,8.4,626002600.0,1807,346431.98671831767,420,22.7,77.3,6,0.32,0.25124515771997785,10.960154952960709,19.65,89.63,30.84,99.97,71.08,3,Medium Opportunity
A002,Pune,Talegaon,Talegaon Industrial Area,18.7304,73.6765,82,1,920,78000000.0,11.5,224034125.0,655,342036.8320610687,150,16.3,83.7,4,0.43,0.7923664122137405,24.355725190839696,51.45,62.55,59.81,80.03,68.58,4,Medium Opportunity
A005,Pune,Bhosari,Bhosari Industrial Estate,18.6385,73.8458,91,1,1320,105000000.0,7.6,456894825.0,1354,337440.78655834566,280,21.21,78.79,7,0.53,0.2651403249630724,11.034711964549484,21.57,69.88,23.36,99.7,62.18,5,Medium Opportunity
A006,Pune,Shirur,Shirur Industrial Zone,18.8286,74.3789,76,1,850,65000000.0,13.1,91001825.0,272,334565.5330882353,65,7.65,92.35,1,0.12,3.639705882352941,66.97058823529412,91.54,58.53,74.77,0.0,61.39,6,Medium Opportunity
A009,Pune,Khed,Khed Auto Component Cluster,18.8504,73.9103,71,1,710,58000000.0,10.4,176639425.0,518,341002.75096525095,115,16.2,83.8,4,0.56,0.7953667953667953,24.55019305019305,51.74,49.67,49.53,79.82,60.98,7,Medium Opportunity
A013,Pune,Maval,Maval Heavy Fabrication Corridor,18.7511,73.5412,75,1,780,62000000.0,9.8,231393825.0,662,349537.5,125,16.03,83.97,4,0.51,0.7643504531722054,23.897280966767372,49.4,52.31,43.93,80.86,60.41,8,Medium Opportunity
A007,Pune,Baramati,Baramati High-Tech MIDC,18.1517,74.5772,68,1,650,52000000.0,9.2,154427825.0,422,365942.7132701422,110,16.92,83.08,2,0.31,0.6658767772511849,24.540284360189574,46.45,44.78,38.32,81.73,56.04,9,Medium Opportunity
A011,Pune,Mulshi,Mulshi Light Manufacturing Zone,18.5912,73.6102,58,0,490,38000000.0,8.9,90149525.0,266,338907.9887218045,60,12.24,87.76,1,0.2,0.7406015037593985,24.285714285714285,49.25,15.02,35.51,80.86,45.59,10,Low Opportunity
A010,Pune,Haveli,Haveli Engineering Belt,18.4412,73.8123,64,0,580,46000000.0,6.8,113958450.0,331,344285.3474320242,80,13.79,86.21,2,0.34,0.7885196374622356,24.416918429003022,48.94,17.56,15.89,80.04,40.16,11,Low Opportunity
A012,Pune,Purandar,Purandar Agri & Industrial Park,18.2834,73.9741,50,0,390,29000000.0,6.2,62291150.0,182,342259.06593406596,45,11.54,88.46,1,0.26,0.7252747252747253,23.587912087912088,46.7,4.37,10.28,81.71,34.56,12,Low Opportunity
A008,Pune,Daund,Daund Logistics & Industrial Belt,18.4651,74.5956,45,0,420,32000000.0,5.1,67693575.0,216,313396.18055555556,55,13.1,86.9,1,0.24,0.7361111111111112,24.310185185185187,46.76,0.76,0.0,80.9,29.78,13,Low Opportunity
