customer_id,customer_name,area_id,industry_type,company_size,annual_revenue,customer_status,customer_since
C0001,Kalyani Polymers,A001,Chemicals,Medium,72800000.0,Active,2021-11-21
C0002,Sigma Tech Solutions,A001,Textile,Enterprise,372600000.0,Active,2019-02-11
C0003,Bharat Metal Works,A001,Textile,Medium,65300000.0,Active,2018-02-23
C0004,Thermax-Vendor Engineering Pvt Ltd,A001,Chemicals,Small,25300000.0,Active,2024-06-03
C0005,Pragati Forgings & Castings,A001,Pharmaceuticals,Enterprise,428500000.0,Active,2019-12-19
C0006,Shree Tech Solutions,A001,Chemicals,Enterprise,784500000.0,Active,2019-02-04
C0007,Atlas Polymers,A001,Packaging,Enterprise,546700000.0,Active,2024-12-02
C0008,Atlas Chemicals & Processing,A001,Engineering,Small,16200000.0,Active,2020-02-08
C0009,Force Forgings & Castings,A001,Textile,Enterprise,384100000.0,Active,2019-05-15
C0010,Tata-Partner Auto Components,A001,Electronics,Small,9900000.0,Active,2022-01-03
C0011,Tata-Partner Tools & Dies,A001,Food Processing,Enterprise,588800000.0,Active,2024-07-02
C0012,Kirloskar-Style Polymers,A001,Automotive,Enterprise,459100000.0,Active,2024-08-10
C0013,TechnoCraft Packaging Solutions,A001,Textile,Enterprise,392900000.0,Active,2020-04-02
C0014,Shree Packaging Solutions,A001,Textile,Small,22500000.0,Active,2018-01-19
C0015,Omni Industries,A001,Textile,Medium,33400000.0,Active,2022-02-28
C0016,Kirloskar-Style Auto Components,A001,Engineering,Medium,54200000.0,Active,2022-04-19
C0017,Kalyani Engineering Pvt Ltd,A001,Engineering,Enterprise,694400000.0,Active,2022-09-11
C0018,Deccan Forgings & Castings,A001,Packaging,Medium,45900000.0,Active,2019-11-21
C0019,Mahindra-Tier1 Tech Solutions,A001,Packaging,Small,9200000.0,Active,2022-10-04
C0020,Synergy Industries,A001,Chemicals,Large,113800000.0,Active,2020-02-08
C0021,Sigma Fabricators,A001,Metal Fabrication,Enterprise,800200000.0,Active,2023-05-20
C0022,Thermax-Vendor Industries,A001,Automotive,Large,257700000.0,Active,2018-03-09
C0023,Apex Auto Components,A001,Textile,Medium,46300000.0,Active,2022-04-23
C0024,Western Forgings & Castings,A001,Pharmaceuticals,Enterprise,450700000.0,Active,2024-01-03
C0025,Thermax-Vendor Polymers,A001,Pharmaceuticals,Small,9100000.0,Active,2024-03-21
C0026,Deccan Tools & Dies,A001,Electronics,Enterprise,636500000.0,Active,2018-02-23
C0027,Matrix Industries,A001,Automotive,Large,194900000.0,Active,2019-07-05
C0028,Precision Fabricators,A001,Packaging,Small,25200000.0,Active,2019-11-08
C0029,Atlas Auto Components,A001,Packaging,Enterprise,884300000.0,Active,2023-03-08
C0030,Kirloskar-Style Tools & Dies,A001,Food Processing,Small,12200000.0,Active,2020-07-26
C0031,Atlas Packaging Solutions,A001,Chemicals,Large,118700000.0,Active,2023-02-13
C0032,Precision Tech Solutions,A001,Chemicals,Medium,79000000.0,Active,2021-06-10
C0033,Tata-Partner Forgings & Castings,A001,Automotive,Medium,53900000.0,Active,2020-02-25
C0034,Deccan Automation Systems,A001,Textile,Enterprise,707700000.0,Active,2024-09-11
C0035,Bharat Auto Components,A001,Pharmaceuticals,Medium,64800000.0,Active,2020-01-04
C0036,Kalyani Polymers,A001,Packaging,Large,168600000.0,Active,2022-02-13
C0037,Shree Forgings & Castings,A001,Pharmaceuticals,Small,21800000.0,Active,2018-09-26
C0038,Sai Chemicals & Processing,A001,Chemicals,Large,167600000.0,Active,2023-06-20
C0039,Western Chemicals & Processing,A001,Engineering,Large,181300000.0,Active,2023-07-11
C0040,Dynamic Packaging Solutions,A001,Pharmaceuticals,Medium,41500000.0,Active,2023-07-22
C0041,Siemens-Tier2 Tools & Dies,A001,Pharmaceuticals,Enterprise,628800000.0,Active,2018-05-10
