transaction_id,customer_id,product_id,dealer_id,area_id,transaction_date,quantity,unit_price,sales_amount
T000001,C0719,P011,D016,A004,2026-04-17,5,42000.0,210000.0
T000002,C1815,P003,D040,A013,2024-03-15,3,120000.0,360000.0
T000003,C1412,P012,D028,A007,2026-06-29,1,31000.0,31000.0
T000004,C1135,P007,D019,A005,2024-01-09,4,85000.0,340000.0
T000005,C0297,P010,D006,A001,2026-02-25,6,22000.0,132000.0
T000006,C0297,P014,D005,A001,2026-08-05,6,28000.0,168000.0
T000007,C0106,P003,D002,A001,2024-11-11,3,120000.0,360000.0
T000008,C1668,P001,D034,A010,2025-07-07,6,45000.0,270000.0
T000009,C1136,P011,D020,A005,2024-07-25,5,42000.0,210000.0
T000010,C1363,P015,D027,A007,2026-03-01,6,49000.0,294000.0
T000011,C0034,P007,D001,A001,2025-03-30,14,80750.0,1130500.0
T000012,C1837,P008,D041,A013,2025-02-12,4,54000.0,216000.0
T000013,C1600,P002,D034,A010,2025-06-02,15,6175.0,92625.0
T000014,C0412,P004,D008,A002,2026-08-21,8,38000.0,304000.0
T000015,C0357,P007,D009,A002,2024-08-03,2,85000.0,170000.0
T000016,C0358,P008,D008,A002,2024-01-08,7,54000.0,378000.0
T000017,C0584,P005,D013,A004,2025-03-20,14,11875.0,166250.0
T000018,C1019,P011,D025,A005,2025-02-03,15,39900.0,598500.0
T000019,C0832,P015,D015,A004,2024-02-16,3,49000.0,147000.0
T000020,C0562,P003,D014,A004,2025-12-12,8,120000.0,960000.0
T000021,C1166,P012,D024,A005,2024-10-27,6,31000.0,186000.0
T000022,C0267,P003,D005,A001,2024-06-04,12,114000.0,1368000.0
T000023,C0566,P013,D014,A004,2024-01-31,8,95000.0,760000.0
T000024,C0706,P014,D015,A004,2025-09-28,6,28000.0,168000.0
T000025,C0884,P008,D013,A004,2026-01-22,14,51300.0,718200.0
T000026,C1517,P013,D031,A009,2024-06-10,2,95000.0,190000.0
T000027,C0386,P002,D008,A002,2025-05-02,8,6500.0,52000.0
T000028,C1003,P014,D023,A005,2026-04-08,11,26600.0,292600.0
T000029,C1124,P005,D020,A005,2024-11-26,11,11875.0,130625.0
T000030,C0075,P002,D004,A001,2025-05-19,12,6175.0,74100.0
T000031,C1162,P013,D020,A005,2024-08-18,11,90250.0,992750.0
T000032,C0327,P015,D008,A002,2024-09-12,4,49000.0,196000.0
T000033,C0112,P012,D004,A001,2025-11-15,10,29450.0,294500.0
T000034,C1813,P015,D039,A013,2024-12-01,7,49000.0,343000.0
T000035,C1832,P014,D038,A013,2026-02-04,15,26600.0,399000.0
T000036,C1560,P001,D031,A009,2025-10-11,1,45000.0,45000.0
T000037,C0585,P008,D016,A004,2026-05-28,6,54000.0,324000.0
T000038,C0181,P007,D004,A001,2024-08-07,8,85000.0,680000.0
T000039,C1311,P005,D028,A007,2024-12-11,15,11875.0,178125.0
T000040,C0850,P008,D018,A004,2024-04-08,11,51300.0,564300.0
T000041,C0228,P006,D004,A001,2025-10-19,1,18500.0,18500.0
T000042,C0965,P014,D013,A004,2024-05-03,9,28000.0,252000.0
